Description,Price,Rating,Url
"Classmate Pulse Notebook - 240 X 180, 300  Pages, Unruled, Wiro Binding, Pack Of 3",₹397,4.2 out of 5 stars,https://www.amazon.com/Classmate-Pulse-Notebook-Unruled-binding/dp/B099S1BQRB/ref=sr_1_44?keywords=notebook&qid=1698814058&sr=8-44
"Classmate Notebook - Single Line, 172 Pages, 190 mm x 155 mm - Pack Of 5",₹148,3.7 out of 5 stars,https://www.amazon.com/Classmate-Notebook-Single-Line-Pages/dp/B0883RPBN4/ref=sr_1_45?keywords=notebook&qid=1698814058&sr=8-45
"Classmate pulse 1 subject notebook : Single line, spiral binding, A4, 180 Pages.",₹92,4.0 out of 5 stars,https://www.amazon.com/Classmate-Premium-Subject-Notebook-Single/dp/B00LZLQ3NG/ref=sr_1_46?keywords=notebook&qid=1698814058&sr=8-46
"Classmate Notebook - Unruled, 72 Pages, 240 mm x 180 mm - Pack Of 4",₹92,4.1 out of 5 stars,https://www.amazon.com/Classmate-Notebook-Unruled-Pages-Pack/dp/B086PYSV5M/ref=sr_1_47?keywords=notebook&qid=1698814058&sr=8-47
TARGET PUBLICATIONS Single Line Small Notebooks | 172 Pages in Each Book | 18 cm x 24 cm Approx | Brown Cover | Combo of 6 | GSM 57,₹327.59,4.3 out of 5 stars,https://www.amazon.com/Target-Single-Notebooks-Printed-Numbers/dp/B0819Y432T/ref=sr_1_48?keywords=notebook&qid=1698814058&sr=8-48
"Classmate Long Book - Unruled, 140 Pages, 297 mm x 210 mm - Pack Of 3",₹181,4.4 out of 5 stars,https://www.amazon.com/Classmate-Long-Book-Unruled-Pages/dp/B086Q3NVS6/ref=sr_1_49?keywords=notebook&qid=1698814058&sr=8-49
Navneet Youva | Spiral Long Book for students and executives | Spiral Bound with Safety lock | A4 size - 21 x 29.7 cm | Single Line | 300 Pages | Pack of 1,₹150,4.4 out of 5 stars,https://www.amazon.com/Navneet-Youva-Spiral-Single-Pages/dp/B082XFFT9W/ref=sr_1_51?keywords=notebook&qid=1698814058&sr=8-51
Navneet Youva | Soft Bound | Brown Note Book | 18x24 cm | Single Line | 92 Pages | Pack of 6,₹182,4.4 out of 5 stars,https://www.amazon.com/Navneet-Youva-Bound-Brown-Single/dp/B0883LCVC9/ref=sr_1_52?keywords=notebook&qid=1698814058&sr=8-52
Navneet Youva | Spiral Long Book For Students And Executives | Spiral Bound With Safety Lock | A4 Size - 21 X 29.7 Cm | Single Line | 400 Pages | Pack Of 1,₹191,4.4 out of 5 stars,https://www.amazon.com/Navneet-Youva-Spiral-Single-Pages/dp/B082XG1133/ref=sr_1_53?keywords=notebook&qid=1698814058&sr=8-53
FACTOR NOTES A6 Notebook: Ruled | 100 GSM | 144 Pages (Free to Fly),₹95,4.3 out of 5 stars,https://www.amazon.com/FACTOR-NOTES-A6-Notebook-Ruled/dp/B0BTHVDFCM/ref=sr_1_54?keywords=notebook&qid=1698814058&sr=8-54
Navneet Youva | Long Book | Soft Bound/Soft cover Notebook for students | A4 size - 21 cm X 29.7 cm| Single Line| 276 Pages | Pack Of 6,₹658,4.5 out of 5 stars,https://www.amazon.com/Navneet-Youva-Bound-Single-Pages/dp/B082XDXF46/ref=sr_1_55?keywords=notebook&qid=1698814058&sr=8-55
"RETTACY Graph Paper Notebook 3 Pack - A5 Graph Grid Spiral Notebook with 480 Pages,100gsm Thick Graph Paper,5.7""x 8.3""",₹499,4.5 out of 5 stars,https://www.amazon.com/RETTACY-Graph-Paper-Notebook-Pack/dp/B07WZLFWP6/ref=sr_1_56?keywords=notebook&qid=1698814058&sr=8-56
Knitted Stories Genuine Leather Diary | Vintage Handmade Leather Journal | Premium Antique Key Closure | Size 20 CM x 15 CM (A5) | 200 Handmade Deckle Edge Antique Pages | Orange Color,₹659,4.5 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYnRmOjIwMDczOTg4OTA2NjA1OjowOjo&url=%2FKnitted-Stories-Handmade-Vintage-Leather%2Fdp%2FB0989Q8CX9%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"PRINTELLIGENT Spiral Notebook, Kraft Cover set of 3, 160 Pages, 80 Sheets, Blank Spiral Notebook, Drawing Notebook, Spiral Sketchbook (Brown)",₹359,5.0 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYnRmOjMwMDAyOTc5MDI5OTgzMjo6MDo6&url=%2FPrintelligent-Spiral-Notebook-Drawing-Sketchbook%2Fdp%2FB09RTCMZKW%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"WRITECRAFT Wiro Series | B5 Wirobound | 144/72 sheets | Ruled | Pack of 1 (Panama Pink, 176x250 MM)",₹318,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYnRmOjMwMDA4NDM2NjAwNzkzMjo6MDo6&url=%2FWRITECRAFT-Wirobound-sheets-Panama-176x250%2Fdp%2FB0CF9KSTJV%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Paperkraft Expression 5 Subject| Hard  Cover Notebook | 18.2 cm x 24.3 cm | Single Line | 400 Pages,₹232,4.4 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYnRmOjIwMDMzNDk0NjIxMzk4OjowOjo&url=%2FPaperkraft-Expression-Series-2252003-Notebook%2Fdp%2FB00LZLQJV2%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
